*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,ALBERTA,BIPVT,0,0,666,1655
*data,1-SD,ALBERTA,BIPVT,CVB,0,17,1655
*data,1-SD,ALBERTA,BIPVT,FOH,0,17,1655
*data,1-SD,ALBERTA,BIPVT,FVB,0,17,1655
*data,1-SD,ALBERTA,BIPVT,ICE_CHP,0,666,1655
*data,1-SD,ALBERTA,BIPVT,PCM,0,634,1655
*data,1-SD,ALBERTA,BIPVT,PV,0,526,1655
*data,1-SD,ALBERTA,BIPVT,SDHW,0,526,1655
*data,1-SD,ALBERTA,BIPVT,SE_CHP,0,666,1655
*data,1-SD,ALBERTA,BIPVT,WAM,0,630,1655
*data,1-SD,ALBERTA,BIPVT,WTM2010,0,556,1655
*data,1-SD,ALBERTA,BIPVT,WTM2100,0,556,1655
*data,1-SD,ALBERTA,BIPVT,WTM2110,0,556,1655
*data,1-SD,ALBERTA,BIPVT,WTM3000,0,657,1655
*data,1-SD,ALBERTA,BIPVT,WTM3200,0,657,1655
*data,1-SD,ALBERTA,BIPVT,WTM3210,0,666,1655
*data,1-SD,ALBERTA,BIPVT,WTM3310,0,666,1655
*data,1-SD,ALBERTA,BIPVT,CVB,FOH,17,1655
*data,1-SD,ALBERTA,BIPVT,CVB,FVB,17,1655
*data,1-SD,ALBERTA,BIPVT,CVB,ICE_CHP,17,1655
*data,1-SD,ALBERTA,BIPVT,CVB,PCM,17,1655
*data,1-SD,ALBERTA,BIPVT,CVB,PV,13,1655
*data,1-SD,ALBERTA,BIPVT,CVB,SDHW,13,1655
*data,1-SD,ALBERTA,BIPVT,CVB,SE_CHP,17,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WAM,16,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WTM2010,13,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WTM2100,13,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WTM2110,13,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WTM3000,16,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WTM3200,16,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WTM3210,17,1655
*data,1-SD,ALBERTA,BIPVT,CVB,WTM3310,17,1655
*data,1-SD,ALBERTA,BIPVT,FOH,FVB,17,1655
*data,1-SD,ALBERTA,BIPVT,FOH,ICE_CHP,17,1655
*data,1-SD,ALBERTA,BIPVT,FOH,PCM,17,1655
*data,1-SD,ALBERTA,BIPVT,FOH,PV,13,1655
*data,1-SD,ALBERTA,BIPVT,FOH,SDHW,13,1655
*data,1-SD,ALBERTA,BIPVT,FOH,SE_CHP,17,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WAM,16,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WTM2010,13,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WTM2100,13,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WTM2110,13,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WTM3000,16,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WTM3200,16,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WTM3210,17,1655
*data,1-SD,ALBERTA,BIPVT,FOH,WTM3310,17,1655
*data,1-SD,ALBERTA,BIPVT,FVB,ICE_CHP,17,1655
*data,1-SD,ALBERTA,BIPVT,FVB,PCM,17,1655
*data,1-SD,ALBERTA,BIPVT,FVB,PV,13,1655
*data,1-SD,ALBERTA,BIPVT,FVB,SDHW,13,1655
*data,1-SD,ALBERTA,BIPVT,FVB,SE_CHP,17,1655
