*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,MANITOBA,BIPVT,0,0,340,859
*data,1-SD,MANITOBA,BIPVT,CVB,0,58,859
*data,1-SD,MANITOBA,BIPVT,FOH,0,56,859
*data,1-SD,MANITOBA,BIPVT,FVB,0,58,859
*data,1-SD,MANITOBA,BIPVT,ICE_CHP,0,235,859
*data,1-SD,MANITOBA,BIPVT,PCM,0,321,859
*data,1-SD,MANITOBA,BIPVT,PV,0,243,859
*data,1-SD,MANITOBA,BIPVT,SDHW,0,243,859
*data,1-SD,MANITOBA,BIPVT,SE_CHP,0,235,859
*data,1-SD,MANITOBA,BIPVT,WAM,0,321,859
*data,1-SD,MANITOBA,BIPVT,WTM2010,0,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2100,0,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2110,0,195,859
*data,1-SD,MANITOBA,BIPVT,WTM3000,0,318,859
*data,1-SD,MANITOBA,BIPVT,WTM3200,0,318,859
*data,1-SD,MANITOBA,BIPVT,WTM3210,0,340,859
*data,1-SD,MANITOBA,BIPVT,WTM3310,0,340,859
*data,1-SD,MANITOBA,BIPVT,CVB,FOH,56,859
*data,1-SD,MANITOBA,BIPVT,CVB,FVB,58,859
*data,1-SD,MANITOBA,BIPVT,CVB,ICE_CHP,46,859
*data,1-SD,MANITOBA,BIPVT,CVB,PCM,56,859
*data,1-SD,MANITOBA,BIPVT,CVB,PV,45,859
*data,1-SD,MANITOBA,BIPVT,CVB,SDHW,45,859
*data,1-SD,MANITOBA,BIPVT,CVB,SE_CHP,46,859
*data,1-SD,MANITOBA,BIPVT,CVB,WAM,55,859
*data,1-SD,MANITOBA,BIPVT,CVB,WTM2010,28,859
*data,1-SD,MANITOBA,BIPVT,CVB,WTM2100,28,859
*data,1-SD,MANITOBA,BIPVT,CVB,WTM2110,28,859
*data,1-SD,MANITOBA,BIPVT,CVB,WTM3000,54,859
*data,1-SD,MANITOBA,BIPVT,CVB,WTM3200,54,859
*data,1-SD,MANITOBA,BIPVT,CVB,WTM3210,58,859
*data,1-SD,MANITOBA,BIPVT,CVB,WTM3310,58,859
*data,1-SD,MANITOBA,BIPVT,FOH,FVB,56,859
*data,1-SD,MANITOBA,BIPVT,FOH,ICE_CHP,45,859
*data,1-SD,MANITOBA,BIPVT,FOH,PCM,56,859
*data,1-SD,MANITOBA,BIPVT,FOH,PV,43,859
*data,1-SD,MANITOBA,BIPVT,FOH,SDHW,43,859
*data,1-SD,MANITOBA,BIPVT,FOH,SE_CHP,45,859
*data,1-SD,MANITOBA,BIPVT,FOH,WAM,53,859
*data,1-SD,MANITOBA,BIPVT,FOH,WTM2010,27,859
*data,1-SD,MANITOBA,BIPVT,FOH,WTM2100,27,859
*data,1-SD,MANITOBA,BIPVT,FOH,WTM2110,27,859
*data,1-SD,MANITOBA,BIPVT,FOH,WTM3000,52,859
*data,1-SD,MANITOBA,BIPVT,FOH,WTM3200,52,859
*data,1-SD,MANITOBA,BIPVT,FOH,WTM3210,56,859
*data,1-SD,MANITOBA,BIPVT,FOH,WTM3310,56,859
*data,1-SD,MANITOBA,BIPVT,FVB,ICE_CHP,46,859
*data,1-SD,MANITOBA,BIPVT,FVB,PCM,56,859
*data,1-SD,MANITOBA,BIPVT,FVB,PV,45,859
*data,1-SD,MANITOBA,BIPVT,FVB,SDHW,45,859
*data,1-SD,MANITOBA,BIPVT,FVB,SE_CHP,46,859
*data,1-SD,MANITOBA,BIPVT,FVB,WAM,55,859
*data,1-SD,MANITOBA,BIPVT,FVB,WTM2010,28,859
*data,1-SD,MANITOBA,BIPVT,FVB,WTM2100,28,859
*data,1-SD,MANITOBA,BIPVT,FVB,WTM2110,28,859
*data,1-SD,MANITOBA,BIPVT,FVB,WTM3000,54,859
*data,1-SD,MANITOBA,BIPVT,FVB,WTM3200,54,859
*data,1-SD,MANITOBA,BIPVT,FVB,WTM3210,58,859
*data,1-SD,MANITOBA,BIPVT,FVB,WTM3310,58,859
*data,1-SD,MANITOBA,BIPVT,ICE_CHP,PCM,225,859
*data,1-SD,MANITOBA,BIPVT,ICE_CHP,PV,169,859
*data,1-SD,MANITOBA,BIPVT,ICE_CHP,SDHW,169,859
*data,1-SD,MANITOBA,BIPVT,ICE_CHP,SE_CHP,235,859
*data,1-SD,MANITOBA,BIPVT,ICE_CHP,WAM,227,859
*data,1-SD,MANITOBA,BIPVT,ICE_CHP,WTM2010,136,859
*data,1-SD,MANITOBA,BIPVT,ICE_CHP,WTM2100,136,859
*data,1-SD,MANITOBA,BIPVT,ICE_CHP,WTM2110,136,859
*data,1-SD,MANITOBA,BIPVT,ICE_CHP,WTM3000,217,859
*data,1-SD,MANITOBA,BIPVT,ICE_CHP,WTM3200,217,859
*data,1-SD,MANITOBA,BIPVT,ICE_CHP,WTM3210,235,859
*data,1-SD,MANITOBA,BIPVT,ICE_CHP,WTM3310,235,859
*data,1-SD,MANITOBA,BIPVT,PCM,PV,227,859
*data,1-SD,MANITOBA,BIPVT,PCM,SDHW,227,859
*data,1-SD,MANITOBA,BIPVT,PCM,SE_CHP,225,859
*data,1-SD,MANITOBA,BIPVT,PCM,WAM,307,859
*data,1-SD,MANITOBA,BIPVT,PCM,WTM2010,185,859
*data,1-SD,MANITOBA,BIPVT,PCM,WTM2100,185,859
*data,1-SD,MANITOBA,BIPVT,PCM,WTM2110,185,859
*data,1-SD,MANITOBA,BIPVT,PCM,WTM3000,300,859
*data,1-SD,MANITOBA,BIPVT,PCM,WTM3200,300,859
*data,1-SD,MANITOBA,BIPVT,PCM,WTM3210,321,859
*data,1-SD,MANITOBA,BIPVT,PCM,WTM3310,321,859
*data,1-SD,MANITOBA,BIPVT,PV,SDHW,243,859
*data,1-SD,MANITOBA,BIPVT,PV,SE_CHP,169,859
*data,1-SD,MANITOBA,BIPVT,PV,WAM,233,859
*data,1-SD,MANITOBA,BIPVT,PV,WTM2010,142,859
*data,1-SD,MANITOBA,BIPVT,PV,WTM2100,142,859
*data,1-SD,MANITOBA,BIPVT,PV,WTM2110,142,859
*data,1-SD,MANITOBA,BIPVT,PV,WTM3000,229,859
*data,1-SD,MANITOBA,BIPVT,PV,WTM3200,229,859
*data,1-SD,MANITOBA,BIPVT,PV,WTM3210,243,859
*data,1-SD,MANITOBA,BIPVT,PV,WTM3310,243,859
*data,1-SD,MANITOBA,BIPVT,SDHW,SE_CHP,169,859
*data,1-SD,MANITOBA,BIPVT,SDHW,WAM,233,859
*data,1-SD,MANITOBA,BIPVT,SDHW,WTM2010,142,859
*data,1-SD,MANITOBA,BIPVT,SDHW,WTM2100,142,859
*data,1-SD,MANITOBA,BIPVT,SDHW,WTM2110,142,859
*data,1-SD,MANITOBA,BIPVT,SDHW,WTM3000,229,859
*data,1-SD,MANITOBA,BIPVT,SDHW,WTM3200,229,859
*data,1-SD,MANITOBA,BIPVT,SDHW,WTM3210,243,859
*data,1-SD,MANITOBA,BIPVT,SDHW,WTM3310,243,859
*data,1-SD,MANITOBA,BIPVT,SE_CHP,WAM,227,859
*data,1-SD,MANITOBA,BIPVT,SE_CHP,WTM2010,136,859
*data,1-SD,MANITOBA,BIPVT,SE_CHP,WTM2100,136,859
*data,1-SD,MANITOBA,BIPVT,SE_CHP,WTM2110,136,859
*data,1-SD,MANITOBA,BIPVT,SE_CHP,WTM3000,217,859
*data,1-SD,MANITOBA,BIPVT,SE_CHP,WTM3200,217,859
*data,1-SD,MANITOBA,BIPVT,SE_CHP,WTM3210,235,859
*data,1-SD,MANITOBA,BIPVT,SE_CHP,WTM3310,235,859
*data,1-SD,MANITOBA,BIPVT,WAM,WTM2010,183,859
*data,1-SD,MANITOBA,BIPVT,WAM,WTM2100,183,859
*data,1-SD,MANITOBA,BIPVT,WAM,WTM2110,183,859
*data,1-SD,MANITOBA,BIPVT,WAM,WTM3000,301,859
*data,1-SD,MANITOBA,BIPVT,WAM,WTM3200,301,859
*data,1-SD,MANITOBA,BIPVT,WAM,WTM3210,321,859
*data,1-SD,MANITOBA,BIPVT,WAM,WTM3310,321,859
*data,1-SD,MANITOBA,BIPVT,WTM2010,WTM2100,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2010,WTM2110,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2010,WTM3000,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2010,WTM3200,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2010,WTM3210,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2010,WTM3310,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2100,WTM2110,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2100,WTM3000,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2100,WTM3200,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2100,WTM3210,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2100,WTM3310,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2110,WTM3000,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2110,WTM3200,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2110,WTM3210,195,859
*data,1-SD,MANITOBA,BIPVT,WTM2110,WTM3310,195,859
*data,1-SD,MANITOBA,BIPVT,WTM3000,WTM3200,318,859
*data,1-SD,MANITOBA,BIPVT,WTM3000,WTM3210,318,859
*data,1-SD,MANITOBA,BIPVT,WTM3000,WTM3310,318,859
*data,1-SD,MANITOBA,BIPVT,WTM3200,WTM3210,318,859
*data,1-SD,MANITOBA,BIPVT,WTM3200,WTM3310,318,859
*data,1-SD,MANITOBA,BIPVT,WTM3210,WTM3310,340,859
*data,1-SD,MANITOBA,CVB,0,0,130,859
*data,1-SD,MANITOBA,CVB,FOH,0,124,859
*data,1-SD,MANITOBA,CVB,FVB,0,130,859
*data,1-SD,MANITOBA,CVB,ICE_CHP,0,105,859
*data,1-SD,MANITOBA,CVB,PCM,0,124,859
*data,1-SD,MANITOBA,CVB,PV,0,52,859
*data,1-SD,MANITOBA,CVB,SDHW,0,52,859
*data,1-SD,MANITOBA,CVB,SE_CHP,0,105,859
*data,1-SD,MANITOBA,CVB,WAM,0,124,859
*data,1-SD,MANITOBA,CVB,WTM2010,0,61,859
*data,1-SD,MANITOBA,CVB,WTM2100,0,61,859
*data,1-SD,MANITOBA,CVB,WTM2110,0,61,859
*data,1-SD,MANITOBA,CVB,WTM3000,0,115,859
*data,1-SD,MANITOBA,CVB,WTM3200,0,115,859
*data,1-SD,MANITOBA,CVB,WTM3210,0,130,859
*data,1-SD,MANITOBA,CVB,WTM3310,0,130,859
*data,1-SD,MANITOBA,CVB,FOH,FVB,124,859
*data,1-SD,MANITOBA,CVB,FOH,ICE_CHP,102,859
*data,1-SD,MANITOBA,CVB,FOH,PCM,124,859
*data,1-SD,MANITOBA,CVB,FOH,PV,50,859
*data,1-SD,MANITOBA,CVB,FOH,SDHW,50,859
*data,1-SD,MANITOBA,CVB,FOH,SE_CHP,102,859
*data,1-SD,MANITOBA,CVB,FOH,WAM,119,859
*data,1-SD,MANITOBA,CVB,FOH,WTM2010,58,859
*data,1-SD,MANITOBA,CVB,FOH,WTM2100,58,859
*data,1-SD,MANITOBA,CVB,FOH,WTM2110,58,859
*data,1-SD,MANITOBA,CVB,FOH,WTM3000,110,859
*data,1-SD,MANITOBA,CVB,FOH,WTM3200,110,859
*data,1-SD,MANITOBA,CVB,FOH,WTM3210,124,859
*data,1-SD,MANITOBA,CVB,FOH,WTM3310,124,859
*data,1-SD,MANITOBA,CVB,FVB,ICE_CHP,105,859
*data,1-SD,MANITOBA,CVB,FVB,PCM,124,859
*data,1-SD,MANITOBA,CVB,FVB,PV,52,859
*data,1-SD,MANITOBA,CVB,FVB,SDHW,52,859
