*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,NEW BRUNSWICK,AWHP,0,0,192,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,0,86,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,0,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,FOH,0,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,FVB,0,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,ICE_CHP,0,192,396
*data,1-SD,NEW BRUNSWICK,AWHP,PCM,0,182,396
*data,1-SD,NEW BRUNSWICK,AWHP,PV,0,93,396
*data,1-SD,NEW BRUNSWICK,AWHP,SAHP_P,0,110,396
*data,1-SD,NEW BRUNSWICK,AWHP,SAHP_S,0,110,396
*data,1-SD,NEW BRUNSWICK,AWHP,SCS,0,110,396
*data,1-SD,NEW BRUNSWICK,AWHP,SDHW,0,93,396
*data,1-SD,NEW BRUNSWICK,AWHP,SE_CHP,0,192,396
*data,1-SD,NEW BRUNSWICK,AWHP,WAM,0,171,396
*data,1-SD,NEW BRUNSWICK,AWHP,WTM2010,0,179,396
*data,1-SD,NEW BRUNSWICK,AWHP,WTM2100,0,179,396
*data,1-SD,NEW BRUNSWICK,AWHP,WTM2110,0,179,396
*data,1-SD,NEW BRUNSWICK,AWHP,WTM3000,0,192,396
*data,1-SD,NEW BRUNSWICK,AWHP,WTM3200,0,192,396
*data,1-SD,NEW BRUNSWICK,AWHP,WTM3210,0,192,396
*data,1-SD,NEW BRUNSWICK,AWHP,WTM3310,0,192,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,CVB,0,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,FOH,0,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,FVB,0,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,ICE_CHP,86,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,PCM,81,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,PV,65,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,SAHP_P,65,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,SAHP_S,65,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,SCS,65,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,SDHW,65,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,SE_CHP,86,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,WAM,83,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,WTM2010,82,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,WTM2100,82,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,WTM2110,82,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,WTM3000,86,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,WTM3200,86,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,WTM3210,86,396
*data,1-SD,NEW BRUNSWICK,AWHP,BIPHVT,WTM3310,86,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,FOH,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,FVB,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,ICE_CHP,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,PCM,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,PV,0,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,SAHP_P,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,SAHP_S,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,SCS,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,SDHW,0,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,SE_CHP,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,WAM,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,WTM2010,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,WTM2100,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,WTM2110,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,WTM3000,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,WTM3200,1,396
*data,1-SD,NEW BRUNSWICK,AWHP,CVB,WTM3210,1,396
