*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,NEWFOUNDLAND,AWHP,0,0,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,0,36,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,0,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,0,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,0,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,0,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,PCM,0,83,180
*data,1-SD,NEWFOUNDLAND,AWHP,PV,0,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,SAHP_P,0,59,180
*data,1-SD,NEWFOUNDLAND,AWHP,SAHP_S,0,59,180
*data,1-SD,NEWFOUNDLAND,AWHP,SCS,0,59,180
*data,1-SD,NEWFOUNDLAND,AWHP,SDHW,0,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,SE_CHP,0,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,WAM,0,84,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2010,0,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2100,0,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM2110,0,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM3000,0,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM3200,0,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM3210,0,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,WTM3310,0,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,CVB,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,FOH,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,FVB,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,ICE_CHP,36,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,PCM,30,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,PV,34,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,SAHP_P,33,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,SAHP_S,33,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,SCS,33,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,SDHW,34,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,SE_CHP,36,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,WAM,35,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,WTM2010,35,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,WTM2100,35,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,WTM2110,35,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,WTM3000,36,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,WTM3200,36,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,WTM3210,36,180
*data,1-SD,NEWFOUNDLAND,AWHP,BIPHVT,WTM3310,36,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,FOH,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,FVB,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,ICE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,PCM,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,PV,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,SAHP_P,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,SAHP_S,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,SCS,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,SDHW,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,SE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WAM,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WTM2010,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WTM2100,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WTM2110,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WTM3000,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WTM3200,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WTM3210,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,CVB,WTM3310,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,FVB,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,ICE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,PCM,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,PV,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,SAHP_P,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,SAHP_S,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,SCS,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,SDHW,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,SE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WAM,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WTM2010,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WTM2100,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WTM2110,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WTM3000,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WTM3200,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WTM3210,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FOH,WTM3310,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,ICE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,PCM,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,PV,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,SAHP_P,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,SAHP_S,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,SCS,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,SDHW,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,SE_CHP,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WAM,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WTM2010,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WTM2100,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WTM2110,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WTM3000,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WTM3200,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WTM3210,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,FVB,WTM3310,0,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,PCM,83,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,PV,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,SAHP_P,59,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,SAHP_S,59,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,SCS,59,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,SDHW,44,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,SE_CHP,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WAM,84,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WTM2010,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WTM2100,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WTM2110,87,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WTM3000,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WTM3200,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WTM3210,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,ICE_CHP,WTM3310,89,180
*data,1-SD,NEWFOUNDLAND,AWHP,PCM,PV,39,180
