*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,NOVA SCOTIA,BIPVT,0,0,282,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,0,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,0,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,0,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,ICE_CHP,0,190,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,0,267,630
*data,1-SD,NOVA SCOTIA,BIPVT,PV,0,231,630
*data,1-SD,NOVA SCOTIA,BIPVT,SCS,0,166,630
*data,1-SD,NOVA SCOTIA,BIPVT,SDHW,0,231,630
*data,1-SD,NOVA SCOTIA,BIPVT,SE_CHP,0,190,630
*data,1-SD,NOVA SCOTIA,BIPVT,WAM,0,267,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2010,0,259,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2100,0,259,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM2110,0,259,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM3000,0,281,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM3200,0,282,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM3210,0,282,630
*data,1-SD,NOVA SCOTIA,BIPVT,WTM3310,0,282,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,FOH,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,FVB,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,ICE_CHP,0,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,PCM,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,PV,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,SCS,24,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,SDHW,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,SE_CHP,0,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WAM,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WTM2010,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WTM2100,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WTM2110,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WTM3000,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WTM3200,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WTM3210,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,CVB,WTM3310,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,FVB,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,ICE_CHP,0,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,PCM,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,PV,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,SCS,24,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,SDHW,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,SE_CHP,0,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WAM,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WTM2010,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WTM2100,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WTM2110,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WTM3000,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WTM3200,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WTM3210,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FOH,WTM3310,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,ICE_CHP,0,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,PCM,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,PV,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,SCS,24,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,SDHW,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,SE_CHP,0,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WAM,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WTM2010,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WTM2100,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WTM2110,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WTM3000,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WTM3200,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WTM3210,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,FVB,WTM3310,1,630
*data,1-SD,NOVA SCOTIA,BIPVT,ICE_CHP,PCM,180,630
*data,1-SD,NOVA SCOTIA,BIPVT,ICE_CHP,PV,152,630
*data,1-SD,NOVA SCOTIA,BIPVT,ICE_CHP,SCS,166,630
*data,1-SD,NOVA SCOTIA,BIPVT,ICE_CHP,SDHW,152,630
*data,1-SD,NOVA SCOTIA,BIPVT,ICE_CHP,SE_CHP,190,630
*data,1-SD,NOVA SCOTIA,BIPVT,ICE_CHP,WAM,180,630
*data,1-SD,NOVA SCOTIA,BIPVT,ICE_CHP,WTM2010,179,630
*data,1-SD,NOVA SCOTIA,BIPVT,ICE_CHP,WTM2100,179,630
*data,1-SD,NOVA SCOTIA,BIPVT,ICE_CHP,WTM2110,179,630
*data,1-SD,NOVA SCOTIA,BIPVT,ICE_CHP,WTM3000,189,630
*data,1-SD,NOVA SCOTIA,BIPVT,ICE_CHP,WTM3200,190,630
*data,1-SD,NOVA SCOTIA,BIPVT,ICE_CHP,WTM3210,190,630
*data,1-SD,NOVA SCOTIA,BIPVT,ICE_CHP,WTM3310,190,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,PV,217,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,SCS,156,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,SDHW,217,630
*data,1-SD,NOVA SCOTIA,BIPVT,PCM,SE_CHP,180,630
