*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,ONTARIO,BIPVT,0,0,1842,5404
*data,1-SD,ONTARIO,BIPVT,CVB,0,857,5404
*data,1-SD,ONTARIO,BIPVT,FOH,0,823,5404
*data,1-SD,ONTARIO,BIPVT,FVB,0,853,5404
*data,1-SD,ONTARIO,BIPVT,ICE_CHP,0,1607,5404
*data,1-SD,ONTARIO,BIPVT,PCM,0,1747,5404
*data,1-SD,ONTARIO,BIPVT,PV,0,1297,5404
*data,1-SD,ONTARIO,BIPVT,SCS,0,1010,5404
*data,1-SD,ONTARIO,BIPVT,SDHW,0,1297,5404
*data,1-SD,ONTARIO,BIPVT,SE_CHP,0,1607,5404
*data,1-SD,ONTARIO,BIPVT,WAM,0,1705,5404
*data,1-SD,ONTARIO,BIPVT,WTM2010,0,1601,5404
*data,1-SD,ONTARIO,BIPVT,WTM2100,0,1601,5404
*data,1-SD,ONTARIO,BIPVT,WTM2110,0,1601,5404
*data,1-SD,ONTARIO,BIPVT,WTM3000,0,1834,5404
*data,1-SD,ONTARIO,BIPVT,WTM3200,0,1838,5404
*data,1-SD,ONTARIO,BIPVT,WTM3210,0,1842,5404
*data,1-SD,ONTARIO,BIPVT,WTM3310,0,1842,5404
*data,1-SD,ONTARIO,BIPVT,CVB,FOH,823,5404
*data,1-SD,ONTARIO,BIPVT,CVB,FVB,853,5404
*data,1-SD,ONTARIO,BIPVT,CVB,ICE_CHP,822,5404
*data,1-SD,ONTARIO,BIPVT,CVB,PCM,823,5404
*data,1-SD,ONTARIO,BIPVT,CVB,PV,567,5404
*data,1-SD,ONTARIO,BIPVT,CVB,SCS,786,5404
*data,1-SD,ONTARIO,BIPVT,CVB,SDHW,567,5404
*data,1-SD,ONTARIO,BIPVT,CVB,SE_CHP,822,5404
*data,1-SD,ONTARIO,BIPVT,CVB,WAM,790,5404
*data,1-SD,ONTARIO,BIPVT,CVB,WTM2010,730,5404
*data,1-SD,ONTARIO,BIPVT,CVB,WTM2100,730,5404
*data,1-SD,ONTARIO,BIPVT,CVB,WTM2110,730,5404
*data,1-SD,ONTARIO,BIPVT,CVB,WTM3000,853,5404
*data,1-SD,ONTARIO,BIPVT,CVB,WTM3200,857,5404
*data,1-SD,ONTARIO,BIPVT,CVB,WTM3210,857,5404
*data,1-SD,ONTARIO,BIPVT,CVB,WTM3310,857,5404
*data,1-SD,ONTARIO,BIPVT,FOH,FVB,819,5404
*data,1-SD,ONTARIO,BIPVT,FOH,ICE_CHP,791,5404
*data,1-SD,ONTARIO,BIPVT,FOH,PCM,823,5404
*data,1-SD,ONTARIO,BIPVT,FOH,PV,543,5404
*data,1-SD,ONTARIO,BIPVT,FOH,SCS,771,5404
*data,1-SD,ONTARIO,BIPVT,FOH,SDHW,543,5404
*data,1-SD,ONTARIO,BIPVT,FOH,SE_CHP,791,5404
*data,1-SD,ONTARIO,BIPVT,FOH,WAM,770,5404
*data,1-SD,ONTARIO,BIPVT,FOH,WTM2010,701,5404
*data,1-SD,ONTARIO,BIPVT,FOH,WTM2100,701,5404
*data,1-SD,ONTARIO,BIPVT,FOH,WTM2110,701,5404
*data,1-SD,ONTARIO,BIPVT,FOH,WTM3000,819,5404
*data,1-SD,ONTARIO,BIPVT,FOH,WTM3200,823,5404
*data,1-SD,ONTARIO,BIPVT,FOH,WTM3210,823,5404
*data,1-SD,ONTARIO,BIPVT,FOH,WTM3310,823,5404
*data,1-SD,ONTARIO,BIPVT,FVB,ICE_CHP,819,5404
*data,1-SD,ONTARIO,BIPVT,FVB,PCM,819,5404
*data,1-SD,ONTARIO,BIPVT,FVB,PV,563,5404
*data,1-SD,ONTARIO,BIPVT,FVB,SCS,783,5404
*data,1-SD,ONTARIO,BIPVT,FVB,SDHW,563,5404
*data,1-SD,ONTARIO,BIPVT,FVB,SE_CHP,819,5404
*data,1-SD,ONTARIO,BIPVT,FVB,WAM,786,5404
*data,1-SD,ONTARIO,BIPVT,FVB,WTM2010,726,5404
*data,1-SD,ONTARIO,BIPVT,FVB,WTM2100,726,5404
*data,1-SD,ONTARIO,BIPVT,FVB,WTM2110,726,5404
*data,1-SD,ONTARIO,BIPVT,FVB,WTM3000,849,5404
*data,1-SD,ONTARIO,BIPVT,FVB,WTM3200,853,5404
*data,1-SD,ONTARIO,BIPVT,FVB,WTM3210,853,5404
*data,1-SD,ONTARIO,BIPVT,FVB,WTM3310,853,5404
*data,1-SD,ONTARIO,BIPVT,ICE_CHP,PCM,1537,5404
