*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,QUEBEC,BIPVT,0,0,1058,2882
*data,1-SD,QUEBEC,BIPVT,CVB,0,138,2882
*data,1-SD,QUEBEC,BIPVT,FOH,0,128,2882
*data,1-SD,QUEBEC,BIPVT,FVB,0,133,2882
*data,1-SD,QUEBEC,BIPVT,ICE_CHP,0,189,2882
*data,1-SD,QUEBEC,BIPVT,PCM,0,976,2882
*data,1-SD,QUEBEC,BIPVT,PV,0,809,2882
*data,1-SD,QUEBEC,BIPVT,SCS,0,158,2882
*data,1-SD,QUEBEC,BIPVT,SDHW,0,809,2882
*data,1-SD,QUEBEC,BIPVT,SE_CHP,0,189,2882
*data,1-SD,QUEBEC,BIPVT,WAM,0,981,2882
*data,1-SD,QUEBEC,BIPVT,WTM2010,0,890,2882
*data,1-SD,QUEBEC,BIPVT,WTM2100,0,890,2882
*data,1-SD,QUEBEC,BIPVT,WTM2110,0,890,2882
*data,1-SD,QUEBEC,BIPVT,WTM3000,0,1045,2882
*data,1-SD,QUEBEC,BIPVT,WTM3200,0,1050,2882
*data,1-SD,QUEBEC,BIPVT,WTM3210,0,1057,2882
*data,1-SD,QUEBEC,BIPVT,WTM3310,0,1057,2882
*data,1-SD,QUEBEC,BIPVT,CVB,FOH,128,2882
*data,1-SD,QUEBEC,BIPVT,CVB,FVB,133,2882
*data,1-SD,QUEBEC,BIPVT,CVB,ICE_CHP,39,2882
*data,1-SD,QUEBEC,BIPVT,CVB,PCM,128,2882
*data,1-SD,QUEBEC,BIPVT,CVB,PV,101,2882
*data,1-SD,QUEBEC,BIPVT,CVB,SCS,60,2882
*data,1-SD,QUEBEC,BIPVT,CVB,SDHW,101,2882
*data,1-SD,QUEBEC,BIPVT,CVB,SE_CHP,39,2882
*data,1-SD,QUEBEC,BIPVT,CVB,WAM,132,2882
*data,1-SD,QUEBEC,BIPVT,CVB,WTM2010,116,2882
*data,1-SD,QUEBEC,BIPVT,CVB,WTM2100,116,2882
*data,1-SD,QUEBEC,BIPVT,CVB,WTM2110,116,2882
*data,1-SD,QUEBEC,BIPVT,CVB,WTM3000,138,2882
*data,1-SD,QUEBEC,BIPVT,CVB,WTM3200,138,2882
*data,1-SD,QUEBEC,BIPVT,CVB,WTM3210,138,2882
