*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,2-DR,MANITOBA,AWHP,0,0,68,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,0,32,78
*data,2-DR,MANITOBA,AWHP,CVB,0,8,78
*data,2-DR,MANITOBA,AWHP,FOH,0,6,78
*data,2-DR,MANITOBA,AWHP,FVB,0,6,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,0,68,78
*data,2-DR,MANITOBA,AWHP,PCM,0,54,78
*data,2-DR,MANITOBA,AWHP,PV,0,4,78
*data,2-DR,MANITOBA,AWHP,SAHP_P,0,39,78
*data,2-DR,MANITOBA,AWHP,SAHP_S,0,39,78
*data,2-DR,MANITOBA,AWHP,SCS,0,39,78
*data,2-DR,MANITOBA,AWHP,SDHW,0,4,78
*data,2-DR,MANITOBA,AWHP,SE_CHP,0,68,78
*data,2-DR,MANITOBA,AWHP,WAM,0,48,78
*data,2-DR,MANITOBA,AWHP,WTM2010,0,54,78
*data,2-DR,MANITOBA,AWHP,WTM2100,0,54,78
*data,2-DR,MANITOBA,AWHP,WTM2110,0,54,78
*data,2-DR,MANITOBA,AWHP,WTM3000,0,63,78
*data,2-DR,MANITOBA,AWHP,WTM3200,0,63,78
*data,2-DR,MANITOBA,AWHP,WTM3210,0,68,78
*data,2-DR,MANITOBA,AWHP,WTM3310,0,68,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,CVB,3,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,FOH,3,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,FVB,2,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,ICE_CHP,32,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,PCM,27,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,PV,1,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,SAHP_P,5,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,SAHP_S,5,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,SCS,5,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,SDHW,1,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,SE_CHP,32,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,WAM,14,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,WTM2010,26,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,WTM2100,26,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,WTM2110,26,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,WTM3000,29,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,WTM3200,29,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,WTM3210,32,78
*data,2-DR,MANITOBA,AWHP,BIPHVT,WTM3310,32,78
*data,2-DR,MANITOBA,AWHP,CVB,FOH,6,78
*data,2-DR,MANITOBA,AWHP,CVB,FVB,6,78
*data,2-DR,MANITOBA,AWHP,CVB,ICE_CHP,8,78
*data,2-DR,MANITOBA,AWHP,CVB,PCM,6,78
*data,2-DR,MANITOBA,AWHP,CVB,PV,0,78
*data,2-DR,MANITOBA,AWHP,CVB,SAHP_P,6,78
*data,2-DR,MANITOBA,AWHP,CVB,SAHP_S,6,78
*data,2-DR,MANITOBA,AWHP,CVB,SCS,6,78
*data,2-DR,MANITOBA,AWHP,CVB,SDHW,0,78
*data,2-DR,MANITOBA,AWHP,CVB,SE_CHP,8,78
*data,2-DR,MANITOBA,AWHP,CVB,WAM,6,78
*data,2-DR,MANITOBA,AWHP,CVB,WTM2010,5,78
*data,2-DR,MANITOBA,AWHP,CVB,WTM2100,5,78
*data,2-DR,MANITOBA,AWHP,CVB,WTM2110,5,78
*data,2-DR,MANITOBA,AWHP,CVB,WTM3000,7,78
*data,2-DR,MANITOBA,AWHP,CVB,WTM3200,7,78
*data,2-DR,MANITOBA,AWHP,CVB,WTM3210,8,78
*data,2-DR,MANITOBA,AWHP,CVB,WTM3310,8,78
*data,2-DR,MANITOBA,AWHP,FOH,FVB,4,78
*data,2-DR,MANITOBA,AWHP,FOH,ICE_CHP,6,78
*data,2-DR,MANITOBA,AWHP,FOH,PCM,6,78
*data,2-DR,MANITOBA,AWHP,FOH,PV,0,78
*data,2-DR,MANITOBA,AWHP,FOH,SAHP_P,4,78
*data,2-DR,MANITOBA,AWHP,FOH,SAHP_S,4,78
*data,2-DR,MANITOBA,AWHP,FOH,SCS,4,78
*data,2-DR,MANITOBA,AWHP,FOH,SDHW,0,78
*data,2-DR,MANITOBA,AWHP,FOH,SE_CHP,6,78
*data,2-DR,MANITOBA,AWHP,FOH,WAM,4,78
*data,2-DR,MANITOBA,AWHP,FOH,WTM2010,4,78
*data,2-DR,MANITOBA,AWHP,FOH,WTM2100,4,78
*data,2-DR,MANITOBA,AWHP,FOH,WTM2110,4,78
*data,2-DR,MANITOBA,AWHP,FOH,WTM3000,5,78
*data,2-DR,MANITOBA,AWHP,FOH,WTM3200,5,78
*data,2-DR,MANITOBA,AWHP,FOH,WTM3210,6,78
*data,2-DR,MANITOBA,AWHP,FOH,WTM3310,6,78
*data,2-DR,MANITOBA,AWHP,FVB,ICE_CHP,6,78
*data,2-DR,MANITOBA,AWHP,FVB,PCM,4,78
*data,2-DR,MANITOBA,AWHP,FVB,PV,0,78
*data,2-DR,MANITOBA,AWHP,FVB,SAHP_P,5,78
*data,2-DR,MANITOBA,AWHP,FVB,SAHP_S,5,78
*data,2-DR,MANITOBA,AWHP,FVB,SCS,5,78
*data,2-DR,MANITOBA,AWHP,FVB,SDHW,0,78
*data,2-DR,MANITOBA,AWHP,FVB,SE_CHP,6,78
*data,2-DR,MANITOBA,AWHP,FVB,WAM,5,78
*data,2-DR,MANITOBA,AWHP,FVB,WTM2010,3,78
*data,2-DR,MANITOBA,AWHP,FVB,WTM2100,3,78
*data,2-DR,MANITOBA,AWHP,FVB,WTM2110,3,78
*data,2-DR,MANITOBA,AWHP,FVB,WTM3000,5,78
*data,2-DR,MANITOBA,AWHP,FVB,WTM3200,5,78
*data,2-DR,MANITOBA,AWHP,FVB,WTM3210,6,78
*data,2-DR,MANITOBA,AWHP,FVB,WTM3310,6,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,PCM,54,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,PV,4,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,SAHP_P,39,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,SAHP_S,39,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,SCS,39,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,SDHW,4,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,SE_CHP,68,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,WAM,48,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,WTM2010,54,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,WTM2100,54,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,WTM2110,54,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,WTM3000,63,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,WTM3200,63,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,WTM3210,68,78
*data,2-DR,MANITOBA,AWHP,ICE_CHP,WTM3310,68,78
*data,2-DR,MANITOBA,AWHP,PCM,PV,1,78
*data,2-DR,MANITOBA,AWHP,PCM,SAHP_P,30,78
*data,2-DR,MANITOBA,AWHP,PCM,SAHP_S,30,78
*data,2-DR,MANITOBA,AWHP,PCM,SCS,30,78
*data,2-DR,MANITOBA,AWHP,PCM,SDHW,1,78
*data,2-DR,MANITOBA,AWHP,PCM,SE_CHP,54,78
*data,2-DR,MANITOBA,AWHP,PCM,WAM,37,78
*data,2-DR,MANITOBA,AWHP,PCM,WTM2010,43,78
*data,2-DR,MANITOBA,AWHP,PCM,WTM2100,43,78
