*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,2-DR,ONTARIO,AWHP,0,0,1109,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,0,457,1231
*data,2-DR,ONTARIO,AWHP,CVB,0,540,1231
*data,2-DR,ONTARIO,AWHP,FOH,0,421,1231
*data,2-DR,ONTARIO,AWHP,FVB,0,523,1231
*data,2-DR,ONTARIO,AWHP,ICE_CHP,0,1109,1231
*data,2-DR,ONTARIO,AWHP,PCM,0,845,1231
*data,2-DR,ONTARIO,AWHP,PV,0,273,1231
*data,2-DR,ONTARIO,AWHP,SAHP_P,0,735,1231
*data,2-DR,ONTARIO,AWHP,SAHP_S,0,735,1231
*data,2-DR,ONTARIO,AWHP,SCS,0,735,1231
*data,2-DR,ONTARIO,AWHP,SDHW,0,271,1231
*data,2-DR,ONTARIO,AWHP,SE_CHP,0,1109,1231
*data,2-DR,ONTARIO,AWHP,WAM,0,813,1231
*data,2-DR,ONTARIO,AWHP,WTM2010,0,992,1231
*data,2-DR,ONTARIO,AWHP,WTM2100,0,992,1231
*data,2-DR,ONTARIO,AWHP,WTM2110,0,994,1231
*data,2-DR,ONTARIO,AWHP,WTM3000,0,1107,1231
*data,2-DR,ONTARIO,AWHP,WTM3200,0,1109,1231
*data,2-DR,ONTARIO,AWHP,WTM3210,0,1109,1231
*data,2-DR,ONTARIO,AWHP,WTM3310,0,1109,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,CVB,220,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,FOH,172,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,FVB,216,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,ICE_CHP,457,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,PCM,350,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,PV,124,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,SAHP_P,145,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,SAHP_S,145,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,SCS,145,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,SDHW,124,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,SE_CHP,457,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,WAM,245,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,WTM2010,403,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,WTM2100,403,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,WTM2110,404,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,WTM3000,456,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,WTM3200,457,1231
*data,2-DR,ONTARIO,AWHP,BIPHVT,WTM3210,457,1231
