*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,2-DR,QUEBEC,AWHP,0,0,156,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,0,28,798
*data,2-DR,QUEBEC,AWHP,CVB,0,34,798
*data,2-DR,QUEBEC,AWHP,FOH,0,27,798
*data,2-DR,QUEBEC,AWHP,FVB,0,34,798
*data,2-DR,QUEBEC,AWHP,ICE_CHP,0,156,798
*data,2-DR,QUEBEC,AWHP,PCM,0,129,798
*data,2-DR,QUEBEC,AWHP,PV,0,7,798
*data,2-DR,QUEBEC,AWHP,SAHP_P,0,133,798
*data,2-DR,QUEBEC,AWHP,SAHP_S,0,133,798
*data,2-DR,QUEBEC,AWHP,SCS,0,133,798
*data,2-DR,QUEBEC,AWHP,SDHW,0,7,798
*data,2-DR,QUEBEC,AWHP,SE_CHP,0,156,798
*data,2-DR,QUEBEC,AWHP,WAM,0,131,798
*data,2-DR,QUEBEC,AWHP,WTM2010,0,137,798
*data,2-DR,QUEBEC,AWHP,WTM2100,0,137,798
*data,2-DR,QUEBEC,AWHP,WTM2110,0,137,798
*data,2-DR,QUEBEC,AWHP,WTM3000,0,156,798
*data,2-DR,QUEBEC,AWHP,WTM3200,0,156,798
*data,2-DR,QUEBEC,AWHP,WTM3210,0,156,798
*data,2-DR,QUEBEC,AWHP,WTM3310,0,156,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,CVB,9,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,FOH,6,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,FVB,9,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,ICE_CHP,28,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,PCM,22,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,PV,2,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,SAHP_P,15,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,SAHP_S,15,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,SCS,15,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,SDHW,2,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,SE_CHP,28,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,WAM,18,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,WTM2010,25,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,WTM2100,25,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,WTM2110,25,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,WTM3000,28,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,WTM3200,28,798
*data,2-DR,QUEBEC,AWHP,BIPHVT,WTM3210,28,798
