*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,2-DR,SASKATCHEWAN,AWHP,0,0,13,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,0,4,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,0,3,13
*data,2-DR,SASKATCHEWAN,AWHP,FOH,0,1,13
*data,2-DR,SASKATCHEWAN,AWHP,FVB,0,3,13
*data,2-DR,SASKATCHEWAN,AWHP,ICE_CHP,0,13,13
*data,2-DR,SASKATCHEWAN,AWHP,PCM,0,9,13
*data,2-DR,SASKATCHEWAN,AWHP,PV,0,2,13
*data,2-DR,SASKATCHEWAN,AWHP,SAHP_P,0,8,13
*data,2-DR,SASKATCHEWAN,AWHP,SAHP_S,0,8,13
*data,2-DR,SASKATCHEWAN,AWHP,SCS,0,8,13
*data,2-DR,SASKATCHEWAN,AWHP,SDHW,0,2,13
*data,2-DR,SASKATCHEWAN,AWHP,SE_CHP,0,13,13
*data,2-DR,SASKATCHEWAN,AWHP,WAM,0,9,13
*data,2-DR,SASKATCHEWAN,AWHP,WTM2010,0,11,13
*data,2-DR,SASKATCHEWAN,AWHP,WTM2100,0,11,13
*data,2-DR,SASKATCHEWAN,AWHP,WTM2110,0,11,13
*data,2-DR,SASKATCHEWAN,AWHP,WTM3000,0,13,13
*data,2-DR,SASKATCHEWAN,AWHP,WTM3200,0,13,13
*data,2-DR,SASKATCHEWAN,AWHP,WTM3210,0,13,13
*data,2-DR,SASKATCHEWAN,AWHP,WTM3310,0,13,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,CVB,0,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,FOH,0,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,FVB,0,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,ICE_CHP,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,PCM,2,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,PV,0,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,SAHP_P,2,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,SAHP_S,2,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,SCS,2,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,SDHW,0,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,SE_CHP,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,WAM,1,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,WTM2010,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,WTM2100,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,WTM2110,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,WTM3000,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,WTM3200,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,WTM3210,4,13
*data,2-DR,SASKATCHEWAN,AWHP,BIPHVT,WTM3310,4,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,FOH,1,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,FVB,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,ICE_CHP,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,PCM,1,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,PV,2,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,SAHP_P,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,SAHP_S,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,SCS,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,SDHW,2,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,SE_CHP,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,WAM,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,WTM2010,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,WTM2100,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,WTM2110,3,13
*data,2-DR,SASKATCHEWAN,AWHP,CVB,WTM3000,3,13
